ID,DensT,FritC,StifF,RollR,Total_Acum_Mass_Ini [kg],Total_Acum_Mass_Out [kg],AVG_W_IN [kg/s],SD_W_IN [kg/s],AVG_TOT_IN [kg/s],AVG_W_OUT [kg/s],SD_W_OUT [kg/s],AVG_TOT_OUT [kg/s],Slider_Left_MAX_AVG [kN],Slider_Left_MAX_SD [kN],Slider_Left_MIN_AVG [kN],Slider_Left_MIN_SD [kN],Slider_Right_MAX_AVG [kN],Slider_Right_MAX_SD [kN],Slider_Right_MIN_AVG [kN],Slider_Right_MIN_SD [kN],Slider_Total_MAX_AVG [kN],Slider_Total_MAX_SD [kN],Slider_Total_MIN_AVG [kN],Slider_Total_MIN_SD [kN],WoT_AVG [kJ],WoT_SD [kJ]
116.0,700.0,0.7,0.35,0.1,937.0542755735256,1377.388771115671,0.3689495582444239,0.1007846484945492,0.4259337616243298,0.3000981603367416,0.1590446334670363,0.6260858050525777,16.589268314110942,0.842934770756999,-41.60724977818493,1.5875827876563284,17.866759507281277,0.6624016739754969,-48.6783491411362,0.3652703173130338,34.26906575774525,1.1253880632945248,-90.25769414914916,1.6540056553331062,35.84727666746331,0.1732921885596413
117.0,700.0,0.7,0.1,0.2,7308.830296529461,2277.060835586671,3.3466461992170884,0.6544415826752081,3.322195589331573,0.8647184341858613,0.5118570550825097,1.035027652539396,9.823776888199234,1.5823829613870035,-21.40949360907871,5.760962875983671,9.986559349956044,2.2387380207896577,-22.22665569558593,4.038216614571605,18.93645908196004,3.876253688304303,-42.56970433264705,8.656999135376056,29.83596540724539,3.1422331194513657
118.0,700.0,0.1,0.15,0.2,9816.063907815562,1682.3417239440475,4.555886829017303,0.9041870796276684,4.461847230825256,0.7125003430921728,0.2915782990803965,0.7647007836109307,10.075809573760278,1.569244967630565,-24.017587753594377,6.636023814509783,10.036856904905706,1.1296923811756356,-21.45577147538201,3.926908922769737,19.657065712201824,2.511582283308865,-42.64250818500096,7.241199554509929,31.799215062447587,3.0873773732098964
119.0,700.0,0.2,0.15,0.2,7303.824823410696,1426.9493367711136,3.148952577723777,0.660493015817296,3.319920374277589,0.5072269908117212,0.2362909273165131,0.6486133348959607,13.036440313300586,1.5275258317955709,-28.89270220315468,9.564012666536469,13.55500901260252,1.0832445577035283,-27.021390917455854,6.869300630436535,25.88097074448434,2.520703517769366,-54.07788836929844,16.426204498531714,39.72421300010829,5.600251311783216
120.0,700.0,0.3,0.15,0.2,6617.9114360383055,1706.1501739057528,3.10333747175427,0.5227956578552345,3.0081415618355933,0.661413008311356,0.2498092468761298,0.7755228063207967,12.37714086113702,2.1930488415746527,-24.504025803871205,3.699083405051599,13.265309726696133,3.052885058273136,-27.115136279445647,3.3249846494312685,24.75148933630315,4.630753986635494,-49.4067807729603,5.8835232461685,37.7471831942216,2.605579747628096
121.0,700.0,0.4,0.15,0.2,6818.522678637022,2064.6570720284813,3.402646686016115,0.3919113654560568,3.0993284902895555,0.8792173528127523,0.3696517716713894,0.9384804872856732,9.9911061085556,1.6178255108483692,-23.216082666818032,2.4038231722993384,12.525298463001649,2.765575509743302,-25.127529363770957,2.7482605816695838,21.87632489125088,4.24328777385268,-45.61791105653053,4.629018816921393,34.76145511939138,3.6699876097882647
122.0,700.0,0.5,0.15,0.2,6843.581207033376,2165.758221009009,3.409725375300834,0.2273626022535881,3.110718730469716,0.9332350078469774,0.5504821863568797,0.9844355550040952,10.082719817121808,0.8356745095510019,-22.63744261155525,1.9091577414101124,11.291793703977984,2.0899585610366285,-23.87333021047657,3.93859264760588,20.67292254720445,2.216220813092244,-43.561976881980414,2.835425202254993,33.45876366810004,3.424252890979581
123.0,700.0,0.6,0.15,0.2,6360.794691462813,2317.169848995521,3.0647339003699625,0.4219521207458644,2.8912703143012783,0.8861066665292961,0.4687356566241259,1.0532590222706917,9.150270992905828,2.421088667561336,-25.40989377903036,3.380215151771925,9.72496006018696,1.4479630975336928,-23.084262704740656,4.066382139353637,18.4032708944818,3.533580483100617,-46.68427187919642,3.902332308303163,32.001298792927024,2.837687816628285
124.0,700.0,0.7,0.15,0.2,6489.477126015224,2256.1142335013687,3.131832256750368,0.3388761018968805,2.94976233000692,0.9180612424576094,0.2430322409654763,1.0255064697733494,8.574121705741197,1.7695932438256787,-21.44652017383598,4.830147039116658,10.152927086536833,1.7377890671449607,-23.449074663670636,4.172067593179602,17.953660791312483,2.770899378394068,-41.65842344497678,8.121507009561986,30.525309842581624,4.3042259589565495
125.0,700.0,0.1,0.2,0.2,8351.432036485352,1686.7735971282643,3.702483732090375,0.4557927152715303,3.796105471129705,0.7249764482931661,0.2504095696747477,0.7667152714219383,12.01989024143845,1.3803208391213475,-26.374964379150292,4.36829413624144,12.047951147499925,0.9027888488807752,-25.312836974508944,4.608142031599909,23.42724249684188,2.0421524833844207,-49.85888477766783,9.455713230684491,37.21851140115093,2.612929000039321
126.0,700.0,0.2,0.2,0.2,6784.146934750349,1573.7784732087805,3.098671465395991,0.7446738047329146,3.083703152159249,0.5996213407784284,0.1662663819418221,0.7153538514585366,12.408773558984937,2.318670641832384,-26.11873303914772,1.491454491583193,14.005099461850545,1.6580943627015627,-26.7106904457844,2.523445024840352,25.58578285121667,3.4321520959611784,-50.65494683872128,1.6701251347440689,40.18465752085425,1.594035557350196
